file_id,labels,labels_str,tweet_text,filter_openai
1108927368075374593,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",“NIGGA ON MA MOMMA YOUNGBOY BE SPITTING REAL SHIT NIGGA” ,0
1106978219654303744,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",“ real ass bitch give a fuck boutta nigga” ,0
1116702448016556035,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@DefNotJerm So.... you turn to twitter for it instead of beating that nigga ass or contacting the police about it? ,0
1114666757497733122,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@WhatUpJT I swear I was waiting for her to mouth the word “nigger” 😂😂😂😂 ,0
1109613175861899264,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",I’m 💯 behind you nigga u my thug brother🖤 ,0
1050477688194969600,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",#ecofascist @SierraClub is just another nest for #SJW @newliberallogic @tan123 ,0
1113530722789228549,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",When a android nigga wanna talk about phone battery: ,0
1107795783066312704,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@FreedomzWriterx Check out this nigger😭 ,0
1113555815829471238,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",Dat nigga my homie 3️⃣ ,0
1106580019936182273,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@SplashIQ Imagine a nigga first time messaging you. Then says you off the team 😭😭 ,0
1108093145122856961,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']","🎶 Phantom Power Music 🎶 ""Never Surrender"" ",0
1044596079042408453,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",And I said his 29 not 30 cos his 29 but this twat still said his nearer 30 eventhough his 29..... ,0
1109653281435860992,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@alexissdiamondd It’s definitely YOU nigga 😂 ,0
1107260404810563584,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",I’m really about to fight my cousin @Pharaoh_Munk when I see this nigga ,0
1116532229960761354,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@elijahhorton94 Netflix we coming for you nigga ,0
1117530064130846722,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",The ice cream truck nigga was like 🚐💨💨💨💨💨 ,0
1109210622502285313,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",SHE NACHOS.  IT'S JUST YOUR TURN NIGGA.  Dumb Niggas: ,0
1115275629476372480,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@BF_Flipsta @JazTheRapper nigga got them: ,0
1114250985956835339,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']","Fare play , little cunt wont be doing that again ",0
1109641012090204160,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",Look at this nigga son 💀 ,0
1056821741622910977,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",When You've Just Had Enough Of That Cocky Twat! ,0
1107619527054016512,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",some nigga: how are you today   me: ,0
1105326061963919360,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",“ i can’t stop thinking about you .” I know nigga 😂 ,0
1113461398238060550,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",Me: “oh you off today? Let’s go get a tattoo”  Also me: “But savings nigga”  Me &amp; me: ,0
1109128023817760768,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@Mat3rial_Girl Facts like beat it my nigga ,0
1113086321415852032,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",Funniest nigga I’ve ever known! HAPPY G DAY TO THE REALEST!! 😇🙏🏾 #DUKEDAGOD ,0
1109108245187252224,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",To the dude that called me a fat cunt before 9AM...  YUP ,0
1108457506882441222,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",I am proud to #serve the #superior #alphamale I am proud to be a #faggot ,0
1117467839567409154,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",My nigga Floyd Bvuma .. how u made it to the #DateMyFamilly 😆😆😆... dude ? Yerrr ,0
1114404944499625984,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@Mierrr4 @jeffromda4 Bout time a nigga said it lmao ,0
1057278682442559488,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']","@ASRomaEN On behalf of Gooners everywhere, my apologies for this twat. ",0
1106538059699548162,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']","IF YA ASS A BROKE NIGGA, HELL NAH I CANT DATE YOU/IF YA ASS A RICH NIGGA, IMMA FUCK YOU TILL YOU AINT ONE!!! ",0
1044032214307151872,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@trapyrod75 don’t be this retard ,0
1108397112197300225,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@angrykid83 @AAAFC69 @thegloryboys Cunt president enjoy ! ,0
1114766155565158402,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",Free 69. Startin to miss this nigga 😫💪🏼❤️🧡💛💚💙 ,0
1108400776404185089,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@indigoxuave Nigga you good 🤣🤣 ,0
1110056978397552640,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']","Something about a big nigga and beard, gets me everytime... ",0
1107248174878593024,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']","“a nigga late, but he’s best dressed” ~SPI 2K19🌴 ",0
1114062332550942720,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",Proud of you mu nigga. @Vuli_SA ,0
1056119055562752000,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",Nigga this shit hard... Had to add this to the playlist.. ,0
1058445389496487936,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",This nigga though 😭😭😂😂😂😂 ,0
1110161833695068160,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",yes they can say dyke what u gonna do about it huh ,0
1056654643579797505,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",stupid cunt. #dcfc #nffc ,0
1106545743370682368,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@EmbryEthan The most backward twat ever. ,0
1117109910804869120,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",I can't wait for this nigga to drop ,0
1107703847961522179,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']","@GrannyRose89 I used to fw this one guy ex and he said “how my dick taste, my nigga?” ",0
1106566137469374465,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",This nigga is aggressive. ,0
1110414126956859392,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",Surrender ,0
1025057018867003392,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",PPs for the Saturday #Hambo18 race card are now posted - ,0
1114547496963969024,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",can these SJW just drag demi and no one else. she doesn’t do anything other than body shame and attack taylor ,0
1109619043860832256,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",This nigga lmao“Dick!”🤣🤣 ,0
1107314278325993472,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@BreyonMorris Lil nigga better be standing like that lmao ,0
1107346266403586048,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",any nigga in my situation would have been fold! 🥶 #eso.. ,0
1064132330435031041,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@The_Dirt_Wizard I'LL SURGERY YOU YOU CUNT! ,0
1114714015031353344,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",this nigga said “she look like she eats left &amp; right overs” LMFAOOOOOOO ,0
1106980752032497665,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@AlmightyMansa Nigga how tf you gonna kick them off stage you can’t even GET IT ,0
1114604474637668352,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",My nigga✊🏿 ,0
1044569262961172480,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",Picked up the coolest tequila miniatures from CDG airport duty free. Might make some redneck margaritas with them. ,0
1107476935850942466,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",My nigga Kain back ,0
1109211531131146242,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",Nigga talkin like he raw🙆🏾‍♂️ ,0
1114647118323621890,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",@keywilliamss When a nigga gets a little to close to you in the club ,0
1114683795511422976,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",This nigga did not just hit the nitrous😭 ,0
1113945449499713536,"[0, 0, 0]","['NotHate', 'NotHate', 'NotHate']",Im skinny but i handle heavy nigga easy ,0
